timestamp,ts_uk,hour_uk,minute_uk,time_bucket,market_status,day_of_week,expiry_pattern,expiry_date,strike,option_type,strike_type,underlying_bid,underlying_ask,underlying_mid,bid,ask,mid,spread_pts,half_spread_pts,spread_pct
2026-02-23T17:29:45.713560+00:00,2026-02-23 17:29:45.713560+00:00,17,29,OTHER,TRADEABLE,Monday,SPXWED,25-FEB-26,6830,CALL,ATM,6833.47,6833.87,6833.67,43.17,44.37,43.77,1.2,0.6,2.74
2026-02-23T17:29:45.713560+00:00,2026-02-23 17:29:45.713560+00:00,17,29,OTHER,TRADEABLE,Monday,SPXWED,25-FEB-26,6830,PUT,ATM,6833.47,6833.87,6833.67,38.27,39.47,38.87,1.2,0.6,3.09
2026-02-23T17:29:45.713560+00:00,2026-02-23 17:29:45.713560+00:00,17,29,OTHER,TRADEABLE,Monday,SPXWED,25-FEB-26,6820,CALL,ITM_10,6833.47,6833.87,6833.67,49.33,50.53,49.93,1.2,0.6,2.4
2026-02-23T17:29:45.713560+00:00,2026-02-23 17:29:45.713560+00:00,17,29,OTHER,TRADEABLE,Monday,SPXWED,25-FEB-26,6820,PUT,ITM_10,6833.47,6833.87,6833.67,34.43,35.63,35.03,1.2,0.6,3.43
2026-02-23T17:29:45.713560+00:00,2026-02-23 17:29:45.713560+00:00,17,29,OTHER,TRADEABLE,Monday,SPXWED,25-FEB-26,6840,CALL,OTM_10,6833.47,6833.87,6833.67,37.41,38.61,38.01,1.2,0.6,3.16
2026-02-23T17:29:45.713560+00:00,2026-02-23 17:29:45.713560+00:00,17,29,OTHER,TRADEABLE,Monday,SPXWED,25-FEB-26,6840,PUT,OTM_10,6833.47,6833.87,6833.67,42.51,43.71,43.11,1.2,0.6,2.78
2026-02-23T17:29:45.713560+00:00,2026-02-23 17:29:45.713560+00:00,17,29,OTHER,TRADEABLE,Monday,SPXEMO,27-FEB-26,6830,CALL,ATM,6833.47,6833.87,6833.67,66.96,68.46,67.71,1.5,0.75,2.22
2026-02-23T17:29:45.713560+00:00,2026-02-23 17:29:45.713560+00:00,17,29,OTHER,TRADEABLE,Monday,SPXEMO,27-FEB-26,6830,PUT,ATM,6833.47,6833.87,6833.67,59.63,61.13,60.38,1.5,0.75,2.48
2026-02-23T17:29:45.713560+00:00,2026-02-23 17:29:45.713560+00:00,17,29,OTHER,TRADEABLE,Monday,SPXEMO,27-FEB-26,6820,CALL,ITM_10,6833.47,6833.87,6833.67,73.12,74.62,73.87,1.5,0.75,2.03
2026-02-23T17:29:45.713560+00:00,2026-02-23 17:29:45.713560+00:00,17,29,OTHER,TRADEABLE,Monday,SPXEMO,27-FEB-26,6820,PUT,ITM_10,6833.47,6833.87,6833.67,55.83,57.33,56.58,1.5,0.75,2.65
2026-02-23T17:29:45.713560+00:00,2026-02-23 17:29:45.713560+00:00,17,29,OTHER,TRADEABLE,Monday,SPXEMO,27-FEB-26,6840,CALL,OTM_10,6833.47,6833.87,6833.67,60.96,62.46,61.71,1.5,0.75,2.43
2026-02-23T17:29:45.713560+00:00,2026-02-23 17:29:45.713560+00:00,17,29,OTHER,TRADEABLE,Monday,SPXEMO,27-FEB-26,6840,PUT,OTM_10,6833.47,6833.87,6833.67,63.67,65.17,64.42,1.5,0.75,2.33
2026-02-23T17:29:45.713560+00:00,2026-02-23 17:29:45.713560+00:00,17,29,OTHER,TRADEABLE,Monday,SPXEOM,31-MAR-26,6830,CALL,ATM,6833.47,6833.87,6833.67,160.14,161.64,160.89,1.5,0.75,0.93
2026-02-23T17:29:45.713560+00:00,2026-02-23 17:29:45.713560+00:00,17,29,OTHER,TRADEABLE,Monday,SPXEOM,31-MAR-26,6830,PUT,ATM,6833.47,6833.87,6833.67,138.37,139.87,139.12,1.5,0.75,1.08
2026-02-23T17:29:45.713560+00:00,2026-02-23 17:29:45.713560+00:00,17,29,OTHER,TRADEABLE,Monday,SPXEOM,31-MAR-26,6820,CALL,ITM_10,6833.47,6833.87,6833.67,166.74,168.24,167.49,1.5,0.75,0.9
2026-02-23T17:29:45.713560+00:00,2026-02-23 17:29:45.713560+00:00,17,29,OTHER,TRADEABLE,Monday,SPXEOM,31-MAR-26,6820,PUT,ITM_10,6833.47,6833.87,6833.67,134.97,136.47,135.72,1.5,0.75,1.11
2026-02-23T17:29:45.713560+00:00,2026-02-23 17:29:45.713560+00:00,17,29,OTHER,TRADEABLE,Monday,SPXEOM,31-MAR-26,6840,CALL,OTM_10,6833.47,6833.87,6833.67,153.59,155.09,154.34,1.5,0.75,0.97
2026-02-23T17:29:45.713560+00:00,2026-02-23 17:29:45.713560+00:00,17,29,OTHER,TRADEABLE,Monday,SPXEOM,31-MAR-26,6840,PUT,OTM_10,6833.47,6833.87,6833.67,141.78,143.28,142.53,1.5,0.75,1.05
2026-02-23T17:47:26.714422+00:00,2026-02-23 17:47:26.714422+00:00,17,47,OTHER,TRADEABLE,Monday,SPXWED,25-FEB-26,6830,CALL,ATM,6827.93,6828.33,6828.13,40.09,41.29,40.69,1.2,0.6,2.95
2026-02-23T17:47:26.714422+00:00,2026-02-23 17:47:26.714422+00:00,17,47,OTHER,TRADEABLE,Monday,SPXWED,25-FEB-26,6830,PUT,ATM,6827.93,6828.33,6828.13,41.74,42.94,42.34,1.2,0.6,2.83
2026-02-23T17:47:26.714422+00:00,2026-02-23 17:47:26.714422+00:00,17,47,OTHER,TRADEABLE,Monday,SPXWED,25-FEB-26,6820,CALL,ITM_10,6827.93,6828.33,6828.13,45.88,47.08,46.48,1.2,0.6,2.58
2026-02-23T17:47:26.714422+00:00,2026-02-23 17:47:26.714422+00:00,17,47,OTHER,TRADEABLE,Monday,SPXWED,25-FEB-26,6820,PUT,ITM_10,6827.93,6828.33,6828.13,37.7,38.9,38.3,1.2,0.6,3.13
2026-02-23T17:47:26.714422+00:00,2026-02-23 17:47:26.714422+00:00,17,47,OTHER,TRADEABLE,Monday,SPXWED,25-FEB-26,6840,CALL,OTM_10,6827.93,6828.33,6828.13,34.58,35.78,35.18,1.2,0.6,3.41
2026-02-23T17:47:26.714422+00:00,2026-02-23 17:47:26.714422+00:00,17,47,OTHER,TRADEABLE,Monday,SPXWED,25-FEB-26,6840,PUT,OTM_10,6827.93,6828.33,6828.13,46.33,47.53,46.93,1.2,0.6,2.56
2026-02-23T17:47:26.714422+00:00,2026-02-23 17:47:26.714422+00:00,17,47,OTHER,TRADEABLE,Monday,SPXEMO,27-FEB-26,6830,CALL,ATM,6827.93,6828.33,6828.13,64.01,65.51,64.76,1.5,0.75,2.32
2026-02-23T17:47:26.714422+00:00,2026-02-23 17:47:26.714422+00:00,17,47,OTHER,TRADEABLE,Monday,SPXEMO,27-FEB-26,6830,PUT,ATM,6827.93,6828.33,6828.13,63.2,64.7,63.95,1.5,0.75,2.35
2026-02-23T17:47:26.714422+00:00,2026-02-23 17:47:26.714422+00:00,17,47,OTHER,TRADEABLE,Monday,SPXEMO,27-FEB-26,6820,CALL,ITM_10,6827.93,6828.33,6828.13,70.08,71.58,70.83,1.5,0.75,2.12
2026-02-23T17:47:26.714422+00:00,2026-02-23 17:47:26.714422+00:00,17,47,OTHER,TRADEABLE,Monday,SPXEMO,27-FEB-26,6820,PUT,ITM_10,6827.93,6828.33,6828.13,59.43,60.93,60.18,1.5,0.75,2.49
2026-02-23T17:47:26.714422+00:00,2026-02-23 17:47:26.714422+00:00,17,47,OTHER,TRADEABLE,Monday,SPXEMO,27-FEB-26,6840,CALL,OTM_10,6827.93,6828.33,6828.13,58.23,59.73,58.98,1.5,0.75,2.54
2026-02-23T17:47:26.714422+00:00,2026-02-23 17:47:26.714422+00:00,17,47,OTHER,TRADEABLE,Monday,SPXEMO,27-FEB-26,6840,PUT,OTM_10,6827.93,6828.33,6828.13,67.48,68.98,68.23,1.5,0.75,2.2
2026-02-23T17:47:26.714422+00:00,2026-02-23 17:47:26.714422+00:00,17,47,OTHER,TRADEABLE,Monday,SPXEOM,31-MAR-26,6830,CALL,ATM,6827.93,6828.33,6828.13,157.6,159.1,158.35,1.5,0.75,0.95
2026-02-23T17:47:26.714422+00:00,2026-02-23 17:47:26.714422+00:00,17,47,OTHER,TRADEABLE,Monday,SPXEOM,31-MAR-26,6830,PUT,ATM,6827.93,6828.33,6828.13,142.34,143.84,143.09,1.5,0.75,1.05
2026-02-23T17:47:26.714422+00:00,2026-02-23 17:47:26.714422+00:00,17,47,OTHER,TRADEABLE,Monday,SPXEOM,31-MAR-26,6820,CALL,ITM_10,6827.93,6828.33,6828.13,164.33,165.83,165.08,1.5,0.75,0.91
2026-02-23T17:47:26.714422+00:00,2026-02-23 17:47:26.714422+00:00,17,47,OTHER,TRADEABLE,Monday,SPXEOM,31-MAR-26,6820,PUT,ITM_10,6827.93,6828.33,6828.13,138.47,139.97,139.22,1.5,0.75,1.08
2026-02-23T17:47:26.714422+00:00,2026-02-23 17:47:26.714422+00:00,17,47,OTHER,TRADEABLE,Monday,SPXEOM,31-MAR-26,6840,CALL,OTM_10,6827.93,6828.33,6828.13,151.32,152.82,152.07,1.5,0.75,0.99
