Target_ATR,Trades,Win_Rate,Total_PnL,Avg_PnL_Mult
0.1,328,88.41463414634147,9060.0,0.27621951219512203
0.2,328,76.82926829268293,3360.0,0.10243902439024391
0.3,328,64.32926829268293,-2790.0,-0.08506097560975609
0.4,328,54.57317073170732,-7590.0,-0.23140243902439026
0.5,328,48.78048780487805,-10440.0,-0.3182926829268293
0.6,328,40.243902439024396,-14640.0,-0.4463414634146341
0.7,328,33.84146341463415,-17790.0,-0.5423780487804878
0.8,328,29.878048780487802,-19740.0,-0.6018292682926829
0.9,328,24.085365853658537,-22590.0,-0.688719512195122
1.0,328,20.121951219512198,-24540.0,-0.7481707317073171
1.1,328,16.76829268292683,-26190.0,-0.7984756097560974
1.2,328,13.109756097560975,-27990.0,-0.8533536585365853
1.3,328,10.670731707317072,-29190.0,-0.8899390243902439
1.4,328,8.841463414634147,-30090.0,-0.9173780487804878
1.5,328,6.707317073170732,-31140.0,-0.949390243902439
1.6,328,5.182926829268292,-31890.0,-0.9722560975609755
1.7,328,3.6585365853658534,-32640.0,-0.9951219512195121
1.8,328,3.353658536585366,-32790.0,-0.9996951219512195
1.9,328,2.4390243902439024,-33240.0,-1.0134146341463415
2.0,328,0.9146341463414633,-33990.0,-1.0362804878048781
